Country/Territory,Latitude,Longitude,Administrative division level 2,Species 1,Susceptible 1,Cases 1,Dead 1,Killed 1,Slaughtered 1,Confirmation date
Romania,44.757,28.686,Baia,Sheep,14899.0,14899.0,248.0,14651.0,0.0,2024-07-22
Greece,39.739,21.586,Thessaly,Sheep/goats (mixed herd),11.0,5.0,2.0,,,2024-07-22
Romania,44.755,28.683,Baia,Sheep,46833.0,46833.0,2455.0,44378.0,0.0,2024-07-19
Greece,39.75,21.586,Thessaly,Goats,183.0,5.0,2.0,,,2024-07-18
Greece,39.804,22.094,Thessaly,Sheep,410.0,50.0,9.0,,,2024-07-18
Greece,39.732,21.602,Thessaly,Sheep/goats (mixed herd),560.0,40.0,15.0,,,2024-07-17
Türkiye,38.65,27.63,Saruhanlı,Goats,97.0,3.0,1.0,,,2024-06-26
Türkiye,38.87,28.33,Gördes,Sheep,190.0,48.0,25.0,,,2024-07-04
Greece,39.739,21.586,Thessaly,Sheep/goats (mixed herd),805.0,65.0,40.0,,,2024-07-15
Greece,39.746,21.584,Thessaly,Sheep/goats (mixed herd),185.0,35.0,6.0,,,2024-07-15
Greece,39.743,21.582,Thessaly,Sheep/goats (mixed herd),264.0,50.0,50.0,,,2024-07-11
Türkiye,38.51,28.24,Salihli,Sheep,7.0,7.0,7.0,,,2024-03-12
Türkiye,36.85,37.17,Polateli,Sheep,150.0,150.0,55.0,,,2024-03-28
Türkiye,37.04,29.5,Altınyayla,Goats,1.0,1.0,1.0,,,2024-03-20
Türkiye,37.02,33.47,Merkez,Sheep,30.0,30.0,12.0,,,2024-02-21
Türkiye,36.29,32.29,Gazipaşa,Sheep,1.0,1.0,1.0,,,2024-02-21
Türkiye,38.06,31.47,Şarkikaraağaç,Goats,1.0,1.0,1.0,,,2024-02-06
